VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2.0,2019-10-01 07:14:15,2019-10-01 07:30:12,N,1.0,33,231,1.0,2.19,12.0,0.0,0.5,0.0,0.0,,0.3,15.55,2.0,1.0,2.75
2.0,2019-10-01 07:41:11,2019-10-01 08:02:02,N,1.0,33,137,1.0,5.56,19.5,0.0,0.5,4.61,0.0,,0.3,27.66,1.0,1.0,2.75
2.0,2019-10-01 07:26:08,2019-10-01 07:41:58,N,1.0,67,14,1.0,1.68,11.0,0.0,0.5,0.0,0.0,,0.3,11.8,1.0,1.0,0.0
2.0,2019-10-01 07:04:13,2019-10-01 07:13:05,N,1.0,24,42,1.0,1.61,8.5,0.0,0.5,1.86,0.0,,0.3,11.16,1.0,1.0,0.0
2.0,2019-10-01 07:55:50,2019-10-01 08:04:08,N,1.0,129,129,1.0,0.88,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
2.0,2019-10-01 07:36:07,2019-10-01 07:42:06,N,1.0,41,75,1.0,0.78,6.0,0.0,0.5,0.0,0.0,,0.3,6.8,2.0,1.0,0.0
2.0,2019-10-01 07:15:54,2019-10-01 07:26:50,N,1.0,74,236,1.0,1.77,9.0,0.0,0.5,2.51,0.0,,0.3,15.06,1.0,1.0,2.75
2.0,2019-10-01 07:34:12,2019-10-01 07:53:17,N,1.0,74,74,1.0,3.85,15.5,0.0,0.5,1.08,0.0,,0.3,17.38,1.0,1.0,0.0
2.0,2019-10-01 08:00:27,2019-10-01 08:10:04,N,1.0,75,233,1.0,3.73,12.0,0.0,0.5,2.33,0.0,,0.3,17.88,1.0,1.0,2.75
1.0,2019-10-01 07:53:41,2019-10-01 08:01:15,N,1.0,74,75,1.0,1.2,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,2.0,1.0,0.0
2.0,2019-10-01 07:37:08,2019-10-01 07:51:13,N,1.0,74,244,5.0,3.99,14.5,0.0,0.5,0.0,0.0,,0.3,15.3,2.0,1.0,0.0
1.0,2019-10-01 07:22:48,2019-10-01 07:36:45,N,5.0,147,119,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0
